physical_line	center_y_at_180dpi	printed_counterpart_id	method
1	612	seytek-2012:p0974:b003:l007	visually_confirmed_peak_1
2	777	seytek-2012:p0974:b003:l008	visually_confirmed_peak_2
3	932	seytek-2012:p0974:b003:l009	visually_confirmed_peak_3
4	1068	seytek-2012:p0974:b003:l010	visually_confirmed_peak_4
5	1187	seytek-2012:p0974:b003:l011	visually_confirmed_peak_5
6	1301	seytek-2012:p0974:b003:l012	visually_confirmed_peak_6
7	1447	seytek-2012:p0974:b003:l013	visually_confirmed_peak_7
8	1574	seytek-2012:p0974:b003:l014	visually_confirmed_peak_8
9	1717	seytek-2012:p0974:b003:l015	visually_confirmed_peak_9
10	1849	seytek-2012:p0974:b003:l016	visually_confirmed_peak_10
11	2030	seytek-2012:p0974:b003:l017	visually_confirmed_peak_11
12	2169	seytek-2012:p0974:b003:l018	visually_confirmed_peak_12
13	2299	seytek-2012:p0974:b003:l019	visually_confirmed_peak_13
14	2463	seytek-2012:p0974:b003:l020	visually_confirmed_peak_14
15	2602	seytek-2012:p0974:b003:l021	visually_confirmed_peak_15
16	2726	seytek-2012:p0974:b003:l022	visually_confirmed_peak_16
17	2891	seytek-2012:p0974:b003:l023	visually_confirmed_peak_17
18	3089	seytek-2012:p0974:b003:l024	visually_confirmed_peak_18
19	3246	seytek-2012:p0974:b003:l025	visually_confirmed_peak_19
20	3395	seytek-2012:p0974:b003:l026	visually_confirmed_peak_20
21	3541	seytek-2012:p0974:b003:l027	visually_confirmed_peak_21
22	3714	seytek-2012:p0974:b003:l028	visually_confirmed_peak_23
23	3854	seytek-2012:p0974:b003:l029	visually_confirmed_peak_24
24	4018	seytek-2012:p0974:b003:l030	visually_confirmed_peak_25
25	4175	seytek-2012:p0974:b003:l031	visually_confirmed_peak_26
26	4334	seytek-2012:p0974:b003:l032	visually_confirmed_peak_27
27	4463	seytek-2012:p0974:b003:l033	visually_confirmed_peak_28
28	4607	seytek-2012:p0974:b003:l034	visually_confirmed_peak_29
29	4717	seytek-2012:p0974:b003:l035	visually_confirmed_peak_30
30	4862	seytek-2012:p0974:b003:l036	visually_confirmed_peak_31
31	5029	seytek-2012:p0974:b003:l037	visually_confirmed_peak_32
32	5169	seytek-2012:p0974:b003:l038	visually_confirmed_peak_33
33	5332	seytek-2012:p0974:b003:l039	visually_confirmed_peak_34
34	5480	seytek-2012:p0974:b003:l040	visually_confirmed_peak_35
35	5655	seytek-2012:p0975:b002:l001	visually_confirmed_peak_36
36	5818	seytek-2012:p0975:b002:l002	visually_confirmed_peak_37
37	5994	seytek-2012:p0975:b002:l003	visually_confirmed_peak_38
38	6148	seytek-2012:p0975:b002:l004	visually_confirmed_peak_39
39	6294	seytek-2012:p0975:b002:l005	visually_confirmed_peak_40
40	6436	seytek-2012:p0975:b002:l006	visually_confirmed_peak_41
41	6614	seytek-2012:p0975:b002:l007	visually_confirmed_peak_42
42	6799	seytek-2012:p0975:b002:l008	visually_confirmed_peak_43
43	6963	seytek-2012:p0975:b002:l009	visually_confirmed_peak_44
44	7151	seytek-2012:p0975:b002:l010	visually_confirmed_peak_45
45	7304	seytek-2012:p0975:b002:l011	visually_confirmed_peak_46
46	7464	seytek-2012:p0975:b002:l012	visually_confirmed_peak_47
47	7603	seytek-2012:p0975:b002:l013	visually_confirmed_peak_48
48	7823	seytek-2012:p0975:b002:l014	visually_confirmed_peak_49
49	7985	seytek-2012:p0975:b002:l015	visually_confirmed_peak_50
50	8148	seytek-2012:p0975:b002:l016	visually_confirmed_peak_51
51	8350	seytek-2012:p0975:b002:l017	visually_confirmed_peak_53
52	8544	seytek-2012:p0975:b002:l018	visually_confirmed_peak_54
53	8711	seytek-2012:p0975:b002:l019	visually_confirmed_peak_55
54	8834	seytek-2012:p0975:b002:l020	visually_confirmed_peak_56
55	8957	seytek-2012:p0975:b002:l021	visually_confirmed_peak_57
56	9133	seytek-2012:p0975:b002:l022	visually_confirmed_peak_58
57	9321	seytek-2012:p0975:b002:l023	visually_confirmed_peak_59
58	9452	seytek-2012:p0975:b002:l024	visually_confirmed_peak_60
