physical_line	approx_center_y_at_180dpi	printed_counterpart_id	method
1	797	seytek-2012:p0976:b003:l018	visual_checked_projection_candidate
2	959	seytek-2012:p0976:b003:l019	visual_checked_projection_candidate
3	1138	seytek-2012:p0976:b003:l020	visual_checked_projection_candidate
4	1294	seytek-2012:p0976:b003:l021	visual_checked_projection_candidate
5	1498	seytek-2012:p0976:b003:l022	visual_checked_projection_candidate
6	1634	seytek-2012:p0976:b003:l023	visual_checked_projection_candidate
7	1820	seytek-2012:p0976:b003:l024	visual_checked_projection_candidate
8	2043	seytek-2012:p0976:b003:l025	visual_checked_projection_candidate
9	2220	seytek-2012:p0976:b003:l026	visual_checked_projection_candidate
10	2346	seytek-2012:p0976:b003:l027	visual_checked_projection_candidate
11	2572	seytek-2012:p0976:b003:l028	visual_checked_projection_candidate
12	2774	seytek-2012:p0976:b003:l029	visual_checked_projection_candidate
13	2899	seytek-2012:p0976:b003:l030	visual_checked_projection_candidate
14	3019	seytek-2012:p0976:b003:l031	visual_checked_projection_candidate
15	3217	seytek-2012:p0976:b003:l032	visual_checked_projection_candidate
16	3381	seytek-2012:p0976:b003:l033	visual_checked_projection_candidate
17	3608	seytek-2012:p0976:b003:l034	visual_checked_projection_candidate
18	3797	seytek-2012:p0976:b003:l035	visual_checked_projection_candidate
19	3936	seytek-2012:p0976:b003:l036	visual_checked_projection_candidate
20	4106	seytek-2012:p0976:b003:l037	visual_checked_projection_candidate
21	4266	seytek-2012:p0976:b003:l038	visual_checked_projection_candidate
22	4443	seytek-2012:p0976:b003:l039	visual_checked_projection_candidate
23	4649	seytek-2012:p0976:b003:l040	visual_checked_projection_candidate
24	4819	seytek-2012:p0977:b002:l001	visual_checked_projection_candidate
25	4998	seytek-2012:p0977:b002:l002	visual_checked_projection_candidate
26	5149	seytek-2012:p0977:b002:l003	visual_checked_projection_candidate
27	5300	seytek-2012:p0977:b002:l004	visual_checked_projection_candidate
28	5491	seytek-2012:p0977:b002:l005	visual_checked_projection_candidate
29	5691	seytek-2012:p0977:b002:l006	visual_checked_projection_candidate
30	5884	seytek-2012:p0977:b002:l007	visual_checked_projection_candidate
31	6123	seytek-2012:p0977:b002:l008	visual_checked_projection_candidate
32	6265	seytek-2012:p0977:b002:l009	visual_checked_projection_candidate
33	6454	seytek-2012:p0977:b002:l010	visual_checked_projection_candidate
34	6646	seytek-2012:p0977:b002:l011	visual_checked_projection_candidate
35	6832	seytek-2012:p0977:b002:l012	visual_checked_projection_candidate
36	7021	seytek-2012:p0977:b002:l013	visual_checked_projection_candidate
37	7206	seytek-2012:p0977:b002:l014	visual_checked_projection_candidate
38	7395	seytek-2012:p0977:b002:l015	visual_checked_projection_candidate
39	7514	seytek-2012:p0977:b002:l016	visual_checked_projection_candidate
40	7649	seytek-2012:p0977:b002:l017	visual_checked_projection_candidate
41	7856	seytek-2012:p0977:b002:l018	visual_checked_projection_candidate
42	8044	seytek-2012:p0977:b002:l019	visual_checked_projection_candidate
43	8205	seytek-2012:p0977:b002:l020	visual_checked_projection_candidate
44	8443	seytek-2012:p0977:b002:l021	visual_checked_projection_candidate
45	8585	seytek-2012:p0977:b002:l022	visual_checked_projection_candidate
46	8738	seytek-2012:p0977:b002:l023	visual_checked_projection_candidate
47	8898	seytek-2012:p0977:b002:l024	visual_checked_projection_candidate
48	9173	seytek-2012:p0977:b002:l025	visual_checked_projection_candidate
