pdf_page,observed_folio,image,image_sha256,baseline_status,secure_baselines
3,1,ledger-images/page-003.jpg,b13e8096bc34e0b383dd65dd63c51fe8c40e2a5805f4b0783bfebf61a734ea69,partial-manual,17
4,2,ledger-images/page-004.jpg,9729f7b77e4015b12ecad7cbe7d220d7e72f4d610aa70949f4a89bc5569d9ac5,unsegmented,0
5,3,ledger-images/page-005.jpg,7e90e1df08c08f38e4b1865140d5900fc280861b07841bcf03d56c649db290be,unsegmented,0
6,,ledger-images/page-006.jpg,ecb5b868ede7b48afd300734597523bb1f3dd69e396cdeb5fb3035722aa5eff7,unsegmented,0
7,,ledger-images/page-007.jpg,ef2e211179f9a3010c470e87fb9cc7795fba06a95c7a28831877162f398e6cd1,unsegmented,0
8,,ledger-images/page-008.jpg,3b82cec088d6d74604cfecef878745a214b68ee4d60f21ff10ae6dce8f103bc7,unsegmented,0
9,,ledger-images/page-009.jpg,415b75bb73cd3d61dd633a5e4c086e616e8ed2f08b62bad381119a29d329fd28,unsegmented,0
10,,ledger-images/page-010.jpg,f8c9c6efcf386ba620a7f58a9809c098113fc1c939673af6df9edca1b022d78a,unsegmented,0
11,,ledger-images/page-011.jpg,0f66ba54a06a57d27886fda57d39dcabe8b0f97904f08d4be09a348d4c4be857,unsegmented,0
12,,ledger-images/page-012.jpg,47eb463a9142e7bb510ce367fe3d400c8ed96310df8e9fe76fc42a6d582c2061,unsegmented,0
13,,ledger-images/page-013.jpg,34d3ba4368c7a01296de6b5408886001734a1b7589aac2d38fe760f2d51843cf,unsegmented,0
14,,ledger-images/page-014.jpg,4f307925aacb40d0c9d667087d41ffcbe2963b34b20579d953cb21e72bd66308,unsegmented,0
15,,ledger-images/page-015.jpg,795354082d693e3443371808d7994e1b5f7989aaed1102f4a44ce58e3abf1cce,unsegmented,0
16,,ledger-images/page-016.jpg,55b04b4f543b19dde798d1d33cd7502baaa5fbb0eded5779cb1b6a9f40064169,unsegmented,0
17,,ledger-images/page-017.jpg,55ed950d2dcade0e9a0226666f3a82eb7db43b34fe5c501f364fa8aae00f71d1,unsegmented,0
18,,ledger-images/page-018.jpg,134b9886b380fdf3b0c9ca8cb458e3745795454dbb8546ebf80d988b96facfe6,unsegmented,0
19,,ledger-images/page-019.jpg,bf8a54344b25ff467735d70bd42f3811a1e092262c6517ba3b8b57ad3006764f,unsegmented,0
20,,ledger-images/page-020.jpg,f309e5fc34807073148a962af3d771b515727398083354339c144eee4b66cd00,unsegmented,0
21,,ledger-images/page-021.jpg,132e8d1faae82db7d92e1fd11f0883fe1fb95bd768a8fcd786b805d1109d4e41,unsegmented,0
22,,ledger-images/page-022.jpg,37154a5352d852ff0a5e168b72e9db1a0eb9138b9a4b38c94f7f028bc9371e5d,unsegmented,0
23,,ledger-images/page-023.jpg,ff733be9ba49a65909b433a233dac3e63ccf85b94b41662a7f833e86e8913709,unsegmented,0
24,,ledger-images/page-024.jpg,1a7322640ac75c561edae9285fc0b5c80f419995a88d7f7dabb3601467f614ac,unsegmented,0
25,,ledger-images/page-025.jpg,230301affffab4746285ecf71292cfa3961309f23ff8cf52f3ff3898ba1b2424,unsegmented,0
26,,ledger-images/page-026.jpg,d5ff8ad7086c5e2cdf9ef9aa41e7ace86619dd4b1e61bee6d38fa728037a2c0d,unsegmented,0
27,,ledger-images/page-027.jpg,09a72c82fef7d459704977193041a0e449300e4b7e8171c289de06646b64fa2f,unsegmented,0
28,,ledger-images/page-028.jpg,84120e013e9580cf8ebc76dde8c170152583b35e188751c96a241a8b757548a3,unsegmented,0
29,,ledger-images/page-029.jpg,0a072674ef95886d2da932fb025728468f39c53031a692f9112c74814839dc8c,unsegmented,0
30,,ledger-images/page-030.jpg,2825caf263cdc6d7dc83596888e72687d03009a8a5aa6d465acb3c242326eb8f,unsegmented,0
31,,ledger-images/page-031.jpg,e2c0769aa39b61d4041df3df8396348f6a54df069bfb4d133197a70e2f13f4e6,unsegmented,0
32,,ledger-images/page-032.jpg,b48f7fa96662f505715fba612cdf7b457a5d2e80ae47eb61a25476c098dc889b,unsegmented,0
33,,ledger-images/page-033.jpg,c72dafdc339cf61cc42e280d107b13f135e0d65350caf0cc2d4d7a946299a94e,unsegmented,0
34,,ledger-images/page-034.jpg,fcc3dc7a11429dedf7eee7342e60c655f03da5354ffd63a6f5ba4e9df95f1e96,unsegmented,0
35,,ledger-images/page-035.jpg,8cc7954e9d362b8198573c192e65630e8b2a8686f4b3af5b70f98fe9202dccc9,unsegmented,0
36,,ledger-images/page-036.jpg,b11273cae4e9866de63a3ffd371aceca24b6f45d125efe4b89dd953f934015cc,unsegmented,0
37,,ledger-images/page-037.jpg,1f422ff51d64a80494fda6f94b680f7386faf8c9155ac6b6d06586079a5274f5,unsegmented,0
38,,ledger-images/page-038.jpg,de88f5975b19689c9e77153e33338143a5efb664c49df72288cca604f42a93a8,unsegmented,0
39,,ledger-images/page-039.jpg,618d564a83c7de5ac17f5835ac3d0bf89be9331ad2074b054308ffa1ba759b9d,unsegmented,0
40,,ledger-images/page-040.jpg,50883f8723824ad48418acb4712b370f3a0fcadeaba2b12ff8d1eef3cf908f7b,unsegmented,0
41,,ledger-images/page-041.jpg,531791067eb6e411af2137bf1e99bef7c5dd6e012877cc715da9cb2490803e65,unsegmented,0
42,,ledger-images/page-042.jpg,a9877bdeb66e1a66d6cc7be8da2bd8ea8f0e0b78349bdd32be0ac4c62da1e75f,unsegmented,0
43,,ledger-images/page-043.jpg,220c8942649b4a6c26bf09ec8515fbf7a08376bcbb11ee4018fc5e5d00fd3a46,unsegmented,0
44,,ledger-images/page-044.jpg,dd0903de461100a8a5e0efdc39925a223ec8d0398a3f65e44282730b0f356b27,unsegmented,0
